Smiles,Standard Value
Clc1ccc(cc1Nc1nc(-c2sc(nc2C)NC)c(cn1)C#N)C(=O)N1CC[NH+](CC1)C,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCN(C1)C(OC)=O)NCc1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCN(S(=O)(=O)C(C)C)C1)NCc1ccccc1,0
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1cc(F)c(F)cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1cc(F)ccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1cc(F)cnc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1ccc(F)cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1ccccc1F,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCCNC1)NCc1cccnc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCC[NH+](C1)C)NCc1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCC[NH2+]C1)N(Cc1ccccc1)C,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNC1)NCC1CCOCC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNC1)NCc1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)-c1ccccc1,0
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)N,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NC(=O)c1ccccc1,0
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCC1CCCNC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCC1CCCOC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCC1CCNCC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCC1CCOCC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NC[C@@H]1NC[C@@H](O)C1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NC[C@H]1NCC(F)(F)C1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NC[C@H]1NC[C@@H](F)C1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1cc(F)c(F)cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1cc(F)ccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1cc(F)ccc1F,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1cc(F)cnc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1ccc(Cl)cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1ccc[n+]([O-])c1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1ccccc1F,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1cccnc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)NCc1ccncc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CCNCC1)N[C@@H](C)c1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)N,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CC(OCC1)(C)C,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CCN(C1)C(OC(C)(C)C)=O,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CCN(CC1)C(=O)C,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CCOCC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CCS(=O)(=O)CC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCC1CC[NH2+]CC1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1[nH]cnn1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1cc(F)ccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1cc(OCC(=O)[O-])ccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1cc(S(=O)(=O)C)ccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1ccc(OCC(=O)[O-])cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1ccc(S(=O)(=O)C)cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1ccc(S(=O)(=O)N)cc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1ccc(cc1)C(=O)N,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1ccccc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)NCc1ccncc1,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C)Nc1nc(N)ccc1Cl,0
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH2+]CC1)N(Cc1ccccc1)C,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1CC[NH2+]CC1)N(Cc1ccccc1)CC,1
Clc1ccc(nc1-c1c2cc([nH]c2ncc1)C1OCCNC1)NCc1ccccc1,1
Clc1cccc(-c2c3cc([nH]c3ncc2)C2CC[NH2+]CC2)c1OC,1
Clc1cccc(Cl)c1-n1nc(c2c1N=C(NC2=O)Cc1ccc(OCCO)cc1)C(C)C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1,1
Clc1cccc(Cl)c1C(=O)Nc1cc(ncc1)NC(=O)C1CC1,1
Clc1cccc(Cl)c1CS(=O)(=O)c1cc\2c(NC(=O)/C/2=C\c2[nH]c(C)c(C(=O)N3CCC[C@@H]3CN3CCCC3)c2C)cc1,0
Clc1cccc(Cl)c1S(Oc1cc2nc([nH]c2cc1)NC(OC)=O)(=O)=O,0
Clc1cccc(Cl)c1\C=C\C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@H]1CC[NH+](C[C@H]1O)C,1
Clc1cccc(OC)c1-c1nc(ncc1)Nc1ccc(S(=O)(=O)Nc2onc(C)c2C)cc1,1
Clc1ccccc1C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@@H]1CC[NH+](C)[C@H]1CO,1
Clc1ccccc1C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@H]1CC[NH+](C[C@H]1O)C,1
Clc1ccccc1CN(C)c1nc(ccc1)-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C,1
Clc1ccccc1CNc1nc(ccc1)-c1c2cc([nH]c2ncc1)C1CCNCC1,1
Clc1ccccc1CNc1nc(ccc1)-c1c2cc([nH]c2ncc1)C1CC[NH+](CC1)C,1
Clc1ccccc1CNc1nc(ccc1)-c1c2cc([nH]c2ncc1)C=1CCN(S(=O)(=O)C)CC=1,1
Clc1ccccc1\C=C\C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@H]1CC[NH+](C[C@H]1O)C,1
Clc1cnc(F)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC(=O)[C@@H]2CCCNC2)cc1-c1nc(NCC2CCOCC2)c(F)cc1,1
Clc1cnc(NC(=O)[C@@H]2CCC[NH2+]C2)cc1-c1cc(F)ccc1OC(C)C,1
Clc1cnc(NC(=O)c2ccc(F)cc2)cc1-c1nc(sc1)NCC1CCOCC1,0
Clc1cnc(NC2CCC(N)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC(NC(=O)C)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC(NC(=O)C3CC3)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC(NC(=O)COC)CC2)cc1-c1nc(sc1)NCC1CCOCC1,0
Clc1cnc(NC2CCC([NH2+]CCCOC)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NC,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC(F)(F)F,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1(CCOCC1)C#N,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1C2CC3CC1CC(C2)C3,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CCC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CCCC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CCCCC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CCOC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCc1ccc(F)cc1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCc1ccccc1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)OCC1CCOCC1,1
Clc1cnc(NC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)SCC1CCOCC1,1
Clc1cnc(NC2CCC([NH2+]CCOCC)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC([NH2+][C@@H](COC)C)CC2)cc1-c1nc(sc1)NCC1(CCOCC1)C#N,1
Clc1cnc(NC2CCC([NH2+][C@@H](COC)C)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NC2CCC([NH2+][C@H](COC)C)CC2)cc1-c1nc(sc1)NCC1(CCOCC1)C#N,1
Clc1cnc(NC2CCCC2)cc1-c1cc(NCC2CCOCC2)c(nc1)N1CCOCC1,0
Clc1cnc(NCC2(CCOCC2)C#N)cc1-c1c2cc([nH]c2ncc1)C1CCNCC1,1
Clc1cnc(NCC2CCC(N)CC2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(NCCCN)cc1-c1cc(NCC2CCOCC2)cnc1,0
Clc1cnc(NCCO)cc1-c1cc(NCc2cc(F)ccc2)c(nc1)N1CCOCC1,0
Clc1cnc(NCCO)cc1-c1cc(NCc2cc(F)ccc2)cnc1,1
Clc1cnc(NCCOC)cc1-c1nc(sc1)NCC1CCOCC1,0
Clc1cnc(NCc2cc(F)ccc2)cc1-c1c2cc([nH]c2ncc1)C1CCNCC1,1
Clc1cnc(NCc2ccccc2)cc1-c1c2cc([nH]c2ncc1)C1CCCNC1,1
Clc1cnc(NCc2ccccc2)cc1-c1c2cc([nH]c2ncc1)C1CCNCC1,1
Clc1cnc(Nc2ccccc2)cc1-c1nc(sc1)NCC1CCOCC1,1
Clc1cnc(OC2CCC([NH2+]CCOC)CC2)cc1-c1nc(sc1)NCC1CCOCC1,0
Clc1cnc(nc1-c1c2c([nH]c1)cccc2)N[C@@H]1CCCN(C1)C(=O)c1ccc(NC(=O)\C=C\C[NH+](C)C)cc1,1
Clc1cnc(nc1-c1c2c([nH]c1)cccc2)N[C@H]1C[C@@H](NC(=O)c2ccc(NC(=O)\C=C\C[NH+](C)C)cc2)CCC1,1
Clc1cnc(nc1-c1c2c([nH]c1)cccc2)N[C@H]1C[C@@H](NC(=O)c2ncc(NC(=O)\C=C\C[NH+](C)C)cc2)CCC1,1
Clc1cnc(nc1-c1c2c([nH]c1)cccc2)N[C@H]1C[C@@](NC(=O)c2ncc(NC(=O)\C=C\C[NH+](C)C)cc2)(CCC1)C,1
Clc1cnc(nc1-c1c2c([nH]c1)cccc2)Nc1cc(NC(=O)c2cc(NC(=O)\C=C\C[NH+](C)C)ccc2)ccc1,1
Clc1cnc(nc1-c1c2c([nH]c1)cccc2)Nc1cc(NC(=O)c2ccc(NC(=O)\C=C\C[NH+](C)C)cc2)ccc1,0
Clc1cnc(nc1-c1c2n(nc1)C=CC=C2)Nc1c(n(nc1C)C1CCN(CC1)C(=O)[C@H](O)C)C,1
Clc1cnc(nc1-c1c2ncccc2[nH]c1)NC1CCCCC1,1
Clc1cnc(nc1-c1n2c(nc1)C=CC=C2)Nc1cn(nc1)C1CCN(CC1)C(=O)C,1
Clc1cnc(nc1-c1sc(nc1C)NC)Nc1cc(N2CC[NH2+]CC2)ccc1,1
Clc1cnc(nc1-c1sc(nc1C)NC)Nc1cc(S(=O)(=O)N)ccc1,1
Clc1cnc2[nH]c(cc2c1-c1cc(F)ccc1)C1CC(N)CCC1,1
Clc1cnc2[nH]c(cc2c1-c1cc(F)ccc1)C1CCCNC1,1
Clc1cnc2[nH]c(cc2c1-c1cc(F)ccc1OC)C=1CCN(CC=1)C(=O)NC,1
Clc1cnc2[nH]c(cc2c1-c1cc(NCc2ccccc2)ccc1F)C1CCNCC1,1
Clc1cnc2[nH]c(cc2c1-c1cc(ncc1)NCc1ccccc1)C1CCCNC1,1
Clc1cnc2[nH]c(cc2c1-c1nc(F)ccc1)C1CCCNC1,1
Clc1cnc2[nH]c(cc2c1-c1nc(NCC2CCOCC2)ccc1)C1CCCNC1,1
Clc1cnc2[nH]c(cc2c1-c1nc(NCc2ccccc2)ccc1)C1CC(N)CCC1,1
Clc1cnc2[nH]c(cc2c1-c1nc(NCc2ccccc2)ccc1)C1CCCN(C1)C(OC)=O,0
